-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg      Self XPU    Self XPU %     XPU total  XPU time avg       CPU Mem  Self CPU Mem       XPU Mem  Self XPU Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                 NativeDropoutBackward0         0.02%     254.413us         0.57%       6.467ms      53.892us       0.000us         0.00%     471.680us       3.931us           0 b           0 b     115.43 Mb           0 b           120  
     autograd::engine::evaluate_function: ViewBackward0         0.13%       1.433ms         0.83%       9.463ms      16.204us       0.000us         0.00%     473.600us       0.811us           0 b           0 b     -11.50 Mb    -142.75 Mb           584  
                                          ViewBackward0         0.05%     600.481us         0.60%       6.890ms      11.798us       0.000us         0.00%     387.520us       0.664us           0 b           0 b     131.25 Mb           0 b           584  
    autograd::engine::evaluate_function: AddmmBackward0         0.11%       1.240ms         3.54%      40.397ms     374.050us       0.000us         0.00%       9.037ms      83.679us           0 b           0 b     197.05 Mb    -224.00 Mb           108  
                                         AddmmBackward0         0.06%     698.337us         2.65%      30.189ms     279.531us       0.000us         0.00%       6.316ms      58.480us           0 b           0 b     420.63 Mb           0 b           108  
        autograd::engine::evaluate_function: TBackward0         0.03%     317.732us         0.08%     871.883us       6.605us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           132  
                                             TBackward0         0.01%     162.816us         0.05%     554.151us       4.198us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           132  
                                       c10d::allreduce_         2.54%      28.911ms         2.54%      28.915ms       1.807ms       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            16  
                                     record_param_comms         0.00%       3.826us         0.00%       3.826us       0.239us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            16  
                                        xccl:all_reduce         0.00%       0.000us             0     508.685us      31.793us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            16  
     autograd::engine::evaluate_function: ReluBackward0         0.01%      91.461us         0.12%       1.391ms      57.968us       0.000us         0.00%     138.880us       5.787us           0 b           0 b     -63.50 Mb    -126.50 Mb            24  
                                          ReluBackward0         0.01%      78.531us         0.11%       1.300ms      54.157us       0.000us         0.00%     138.880us       5.787us           0 b           0 b      63.00 Mb           0 b            24  
autograd::engine::evaluate_function: TransposeBackwa...         0.06%     737.057us         0.32%       3.600ms      13.847us       0.000us         0.00%     167.680us       0.645us           0 b           0 b     -32.62 Mb     -32.75 Mb           260  
                                     TransposeBackward0         0.02%     245.461us         0.08%     860.244us       3.309us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           260  
    autograd::engine::evaluate_function: CloneBackward0         0.02%     173.864us         0.02%     199.749us       2.436us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            82  
                                         CloneBackward0         0.00%      25.885us         0.00%      25.885us       0.316us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            82  
autograd::engine::evaluate_function: PermuteBackward...         0.01%      79.265us         0.02%     280.368us       7.788us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            36  
                                       PermuteBackward0         0.01%      58.510us         0.02%     201.103us       5.586us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            36  
autograd::engine::evaluate_function: UnsafeViewBackw...         0.02%     217.543us         0.05%     590.223us       6.148us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            96  
                                    UnsafeViewBackward0         0.01%     101.566us         0.03%     372.680us       3.882us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            96  
      autograd::engine::evaluate_function: BmmBackward0         0.04%     503.772us         1.50%      17.090ms     237.359us       0.000us         0.00%       1.031ms      14.320us           0 b           0 b     -63.69 Mb    -138.37 Mb            72  
                                           BmmBackward0         0.03%     364.855us         1.45%      16.586ms     230.363us       0.000us         0.00%       1.031ms      14.320us           0 b           0 b      74.68 Mb           0 b            72  
autograd::engine::evaluate_function: ExpandBackward0...         0.02%     277.976us         0.03%     335.918us       2.333us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           144  
                                        ExpandBackward0         0.01%      57.942us         0.01%      57.942us       0.402us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           144  
autograd::engine::evaluate_function: SoftmaxBackward...         0.01%     145.459us         0.33%       3.796ms     105.431us       0.000us         0.00%     163.360us       4.538us           0 b           0 b      -4.93 Mb      -9.87 Mb            36  
                                       SoftmaxBackward0         0.01%     114.694us         0.32%       3.650ms     101.391us       0.000us         0.00%     163.360us       4.538us           0 b           0 b       4.93 Mb           0 b            36  
autograd::engine::evaluate_function: ReshapeAliasBac...         0.01%     147.348us         0.03%     314.525us       6.553us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            48  
                                  ReshapeAliasBackward0         0.01%      82.660us         0.01%     167.177us       3.483us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            48  
      autograd::engine::evaluate_function: MulBackward1         0.02%     197.735us         0.33%       3.801ms      52.789us       0.000us         0.00%     200.960us       2.791us           0 b           0 b       4.50 Mb     -53.25 Mb            72  
                                           MulBackward1         0.01%      96.972us         0.32%       3.603ms      50.043us       0.000us         0.00%     200.960us       2.791us           0 b         -16 b      57.75 Mb           0 b            72  
autograd::engine::evaluate_function: SelectBackward0...         0.04%     486.091us         1.95%      22.269ms     231.966us       0.000us         0.00%     809.920us       8.437us           0 b           0 b      -4.19 Mb    -151.19 Mb            96  
                                        SelectBackward0         0.11%       1.202ms         1.66%      18.882ms     196.683us       0.000us         0.00%     579.840us       6.040us           0 b           0 b     147.00 Mb           0 b            96  
                                  aten::select_backward         0.80%       9.098ms         1.55%      17.680ms     184.167us       0.000us         0.00%     579.840us       6.040us           0 b           0 b     147.00 Mb           0 b            96  
                                            aten::zeros         0.02%     218.098us         0.39%       4.469ms      46.549us       0.000us         0.00%     256.000us       2.667us           0 b           0 b     147.00 Mb           0 b            96  
                                            aten::zero_         0.01%     132.375us         0.36%       4.107ms      42.779us       0.000us         0.00%     256.000us       2.667us           0 b           0 b           0 b           0 b            96  
autograd::engine::evaluate_function: SqueezeBackward...         0.01%      85.456us         0.03%     291.407us       8.095us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            36  
                                       SqueezeBackward1         0.01%      65.224us         0.02%     205.951us       5.721us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            36  
autograd::engine::evaluate_function: UnsqueezeBackwa...         0.01%      78.470us         0.02%     229.546us       6.376us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            36  
                                     UnsqueezeBackward0         0.00%      40.674us         0.01%     151.076us       4.197us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            36  
       autograd::engine::evaluate_function: MmBackward0         0.01%     139.010us         0.91%      10.426ms     434.408us       0.000us         0.00%       1.916ms      79.820us           0 b           0 b      -5.00 Mb     -94.00 Mb            24  
                                            MmBackward0         0.01%     142.866us         0.90%      10.287ms     428.615us       0.000us         0.00%       1.916ms      79.820us           0 b           0 b      89.00 Mb           0 b            24  
autograd::engine::evaluate_function: SplitWithSizesB...         0.01%     103.536us         0.29%       3.347ms     139.449us       0.000us         0.00%     190.720us       7.947us           0 b           0 b      -4.00 Mb     -41.57 Mb            24  
                                SplitWithSizesBackward0         0.01%      62.725us         0.28%       3.243ms     135.135us       0.000us         0.00%     190.720us       7.947us           0 b           0 b      37.57 Mb           0 b            24  
     torch.distributed.ddp.reducer::copy_bucket_to_grad         0.03%     344.491us         1.14%      12.974ms      35.256us       0.000us         0.00%       1.279ms       3.476us           0 b           0 b           0 b           0 b           368  
                                             aten::item         0.02%     233.596us         0.03%     286.637us       0.779us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           368  
                              aten::_local_scalar_dense         0.00%      53.041us         0.00%      53.041us       0.144us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           368  
                            torch_ipex::adam_fused_step         0.05%     559.930us         1.54%      17.529ms      47.632us       0.000us         0.00%       2.757ms       7.493us           0 b           0 b           0 b           0 b           368  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 1.140s
Self XPU time total: 29.843ms
