-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg      Self XPU    Self XPU %     XPU total  XPU time avg       CPU Mem  Self CPU Mem       XPU Mem  Self XPU Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
at::native::xpu::VectorizedElementwiseKernel<4, at::...         0.00%       0.000us         0.00%       0.000us       0.000us     342.400us         1.15%     342.400us       3.567us           0 b           0 b           0 b           0 b            96  
at::native::xpu::FusedNormKernelFunctor<float, float...         0.00%       0.000us         0.00%       0.000us       0.000us     318.400us         1.07%     318.400us       8.379us           0 b           0 b           0 b           0 b            38  
                            onednn_addmm(32, 512, 2048)         0.13%       1.528ms         0.16%       1.798ms     149.829us     296.960us         1.00%     296.960us      24.747us           0 b           0 b           0 b           0 b            12  
                                            aten::fill_         0.23%       2.600ms         0.38%       4.297ms      43.850us     263.360us         0.88%     263.360us       2.687us           0 b           0 b           0 b           0 b            98  
at::native::xpu::VectorizedElementwiseKernel<4, at::...         0.00%       0.000us         0.00%       0.000us       0.000us     263.360us         0.88%     263.360us       2.687us           0 b           0 b           0 b           0 b            98  
                                              aten::add         0.21%       2.418ms         0.32%       3.652ms      58.909us     253.440us         0.85%     253.440us       4.088us           0 b           0 b      47.62 Mb      47.62 Mb            62  
                 Memcpy M2D (MEMORY(Unknown) -> DEVICE)         0.00%       0.000us         0.00%       0.000us       0.000us     236.960us         0.79%     236.960us      59.240us           0 b           0 b           0 b           0 b             4  
                                         aten::_softmax         0.41%       4.669ms         0.48%       5.473ms     152.032us     193.920us         0.65%     193.920us       5.387us           0 b           0 b       4.93 Mb       4.93 Mb            36  
                                              aten::cat         0.16%       1.848ms         2.38%      27.107ms     968.101us     190.720us         0.64%     190.720us       6.811us       2.62 Mb           0 b      37.57 Mb      37.01 Mb            28  
                           onednn_mm_out(512, 2048, 32)         0.10%       1.097ms         0.11%       1.306ms     108.838us     183.520us         0.61%     183.520us      15.293us           0 b           0 b           0 b           0 b            12  
                           onednn_mm_out(2048, 512, 32)         0.09%       1.078ms         0.11%       1.286ms     107.132us     175.200us         0.59%     175.200us      14.600us           0 b           0 b           0 b           0 b            12  
                           onednn_mm_out(32, 2048, 512)         0.10%       1.156ms         0.12%       1.385ms     115.451us     174.560us         0.58%     174.560us      14.547us           0 b           0 b           0 b           0 b            12  
                            onednn_addmm(32, 1536, 512)         1.47%      16.808ms         1.51%      17.184ms       1.432ms     171.680us         0.58%     171.680us      14.307us           0 b           0 b           0 b           0 b            12  
                            onednn_addmm(32, 2048, 512)         0.11%       1.222ms         0.13%       1.502ms     125.204us     170.720us         0.57%     170.720us      14.227us           0 b           0 b           0 b           0 b            12  
                           onednn_mm_out(32, 512, 2048)         0.11%       1.299ms         0.13%       1.531ms     127.579us     166.720us         0.56%     166.720us      13.893us           0 b           0 b           0 b           0 b            12  
                           aten::_softmax_backward_data         0.25%       2.811ms         0.31%       3.535ms      98.205us     163.360us         0.55%     163.360us       4.538us           0 b           0 b       4.93 Mb       4.93 Mb            36  
