-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg      Self XPU    Self XPU %     XPU total  XPU time avg       CPU Mem  Self CPU Mem       XPU Mem  Self XPU Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
at::native::xpu::VectorizedElementwiseKernel<4, at::...         0.00%       0.000us         0.00%       0.000us       0.000us     341.120us         1.15%     341.120us       3.553us           0 b           0 b           0 b           0 b            96  
at::native::xpu::FusedNormKernelFunctor<float, float...         0.00%       0.000us         0.00%       0.000us       0.000us     310.240us         1.04%     310.240us       8.164us           0 b           0 b           0 b           0 b            38  
                                            aten::fill_         0.57%       2.719ms         0.95%       4.514ms      46.066us     257.760us         0.87%     257.760us       2.630us           0 b           0 b           0 b           0 b            98  
at::native::xpu::VectorizedElementwiseKernel<4, at::...         0.00%       0.000us         0.00%       0.000us       0.000us     257.760us         0.87%     257.760us       2.630us           0 b           0 b           0 b           0 b            98  
                                              aten::add         0.56%       2.650ms         0.83%       3.926ms      63.318us     257.600us         0.86%     257.600us       4.155us           0 b           0 b      47.62 Mb      47.62 Mb            62  
                            onednn_addmm(32, 512, 2048)         0.34%       1.615ms         0.40%       1.903ms     158.619us     244.800us         0.82%     244.800us      20.400us           0 b           0 b           0 b           0 b            12  
                 Memcpy M2D (MEMORY(Unknown) -> DEVICE)         0.00%       0.000us         0.00%       0.000us       0.000us     242.320us         0.81%     242.320us      60.580us           0 b           0 b           0 b           0 b             4  
                                         aten::_softmax         0.92%       4.391ms         1.10%       5.227ms     145.200us     196.800us         0.66%     196.800us       5.467us           0 b           0 b       4.93 Mb       4.93 Mb            36  
                                              aten::cat         0.43%       2.032ms         1.05%       5.006ms     178.789us     191.280us         0.64%     191.280us       6.831us       2.62 Mb           0 b      37.57 Mb      37.01 Mb            28  
                           onednn_mm_out(512, 2048, 32)         0.23%       1.102ms         0.28%       1.320ms     110.031us     186.720us         0.63%     186.720us      15.560us           0 b           0 b           0 b           0 b            12  
                           onednn_mm_out(2048, 512, 32)         0.22%       1.063ms         0.27%       1.281ms     106.727us     175.040us         0.59%     175.040us      14.587us           0 b           0 b           0 b           0 b            12  
                           onednn_mm_out(32, 2048, 512)         0.25%       1.165ms         0.30%       1.407ms     117.229us     173.280us         0.58%     173.280us      14.440us           0 b           0 b           0 b           0 b            12  
                            onednn_addmm(32, 2048, 512)         0.27%       1.264ms         0.33%       1.552ms     129.300us     169.920us         0.57%     169.920us      14.160us           0 b           0 b           0 b           0 b            12  
                            onednn_addmm(32, 1536, 512)         0.32%       1.527ms         0.39%       1.872ms     155.983us     167.200us         0.56%     167.200us      13.933us           0 b           0 b           0 b           0 b            12  
                           onednn_mm_out(32, 512, 2048)         0.27%       1.283ms         0.32%       1.525ms     127.096us     166.080us         0.56%     166.080us      13.840us           0 b           0 b           0 b           0 b            12  
                           aten::_softmax_backward_data         0.65%       3.083ms         0.81%       3.855ms     107.087us     163.360us         0.55%     163.360us       4.538us           0 b           0 b       4.93 Mb       4.93 Mb            36  
                           onednn_mm_out(1024, 512, 32)         0.22%       1.040ms         0.26%       1.246ms     103.852us     151.680us         0.51%     151.680us      12.640us           0 b           0 b           0 b           0 b            12  
                           onednn_mm_out(32, 512, 1024)         0.27%       1.302ms         0.33%       1.556ms     129.705us     148.160us         0.50%     148.160us      12.347us           0 b           0 b           0 b           0 b            12  
                            onednn_addmm(32, 1024, 512)         0.27%       1.269ms         0.33%       1.549ms     129.061us     141.920us         0.48%     141.920us      11.827us           0 b           0 b           0 b           0 b            12  
                               aten::threshold_backward         0.17%     799.263us         0.27%       1.306ms      54.402us     138.720us         0.47%     138.720us       5.780us           0 b           0 b      63.00 Mb      63.00 Mb            24  
at::native::xpu::VectorizedElementwiseKernel<4, at::...         0.00%       0.000us         0.00%       0.000us       0.000us     138.720us         0.47%     138.720us       5.780us           0 b           0 b           0 b           0 b            24  
                           onednn_mm_out(1536, 512, 32)         0.20%     946.711us         0.25%       1.174ms      97.818us     136.960us         0.46%     136.960us      11.413us           0 b           0 b           0 b           0 b            12  
                            onednn_mm_out(32, 512, 512)         0.25%       1.165ms         0.30%       1.414ms     117.817us     135.680us         0.46%     135.680us      11.307us           0 b           0 b           0 b           0 b            12  
                           onednn_mm_out(32, 512, 1536)         0.24%       1.122ms         0.28%       1.331ms     133.079us     128.160us         0.43%     128.160us      12.816us           0 b           0 b           0 b           0 b            10  
at::native::xpu::VectorizedElementwiseKernel<4, at::...         0.00%       0.000us         0.00%       0.000us       0.000us     127.520us         0.43%     127.520us       5.313us           0 b           0 b           0 b           0 b            24  
                             onednn_addmm(32, 512, 512)         0.27%       1.280ms         0.32%       1.543ms     128.613us     127.200us         0.43%     127.200us      10.600us           0 b           0 b           0 b           0 b            12  
                                        aten::clamp_min         0.20%     950.556us         0.31%       1.469ms      61.194us     120.320us         0.40%     120.320us       5.013us           0 b           0 b      63.50 Mb      63.50 Mb            24  
at::native::xpu::VectorizedElementwiseKernel<4, at::...         0.00%       0.000us         0.00%       0.000us       0.000us     120.320us         0.40%     120.320us       5.013us           0 b           0 b           0 b           0 b            24  
at::native::xpu::impl::DispatchSoftmaxForwardKernelF...         0.00%       0.000us         0.00%       0.000us       0.000us     119.840us         0.40%     119.840us       4.993us           0 b           0 b           0 b           0 b            24  
at::native::xpu::FusedNormKernelFunctor<float, float...         0.00%       0.000us         0.00%       0.000us       0.000us     114.240us         0.38%     114.240us       4.394us           0 b           0 b           0 b           0 b            26  
                            onednn_mm_out(512, 512, 32)         0.23%       1.109ms         0.28%       1.326ms     110.521us     105.920us         0.36%     105.920us       8.827us           0 b           0 b           0 b           0 b            12  
at::native::xpu::CatArrayBatchedCopyKernelFunctor<fl...         0.00%       0.000us         0.00%       0.000us       0.000us     100.640us         0.34%     100.640us       8.387us           0 b           0 b           0 b           0 b            12  
at::native::xpu::ElementwiseGlobalRangeKernel<at::na...         0.00%       0.000us         0.00%       0.000us       0.000us      99.680us         0.33%      99.680us       8.307us           0 b           0 b           0 b           0 b            12  
at::native::xpu::impl::DispatchSoftmaxBackwardKernel...         0.00%       0.000us         0.00%       0.000us       0.000us      94.560us         0.32%      94.560us       3.940us           0 b           0 b           0 b           0 b            24  
at::native::xpu::impl::DispatchSoftmaxForwardKernelF...         0.00%       0.000us         0.00%       0.000us       0.000us      76.960us         0.26%      76.960us       6.413us           0 b           0 b           0 b           0 b            12  
at::native::xpu::impl::DispatchSoftmaxBackwardKernel...         0.00%       0.000us         0.00%       0.000us       0.000us      68.800us         0.23%      68.800us       5.733us           0 b           0 b           0 b           0 b            12  
at::native::xpu::CatArrayBatchedCopyKernelFunctor<fl...         0.00%       0.000us         0.00%       0.000us       0.000us      48.800us         0.16%      48.800us       4.067us           0 b           0 b           0 b           0 b            12  
                            Memcpy H2D (HOST -> DEVICE)         0.00%       0.000us         0.00%       0.000us       0.000us      41.840us         0.14%      41.840us       1.743us           0 b           0 b           0 b           0 b            24  
                                     aten::_log_softmax         0.04%     192.930us         0.05%     243.324us     121.662us      35.520us         0.12%      35.520us      17.760us           0 b           0 b       2.50 Mb       2.50 Mb             2  
