-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg      Self XPU    Self XPU %     XPU total  XPU time avg       CPU Mem  Self CPU Mem       XPU Mem  Self XPU Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           AddBackward0         0.02%      79.200us         0.02%      79.200us       0.943us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            84  
autograd::engine::evaluate_function: NativeDropoutBa...         0.10%     475.133us         1.57%       7.449ms      62.078us       0.000us         0.00%     468.640us       3.905us           0 b           0 b      16.26 Mb     -99.17 Mb           120  
                                 NativeDropoutBackward0         0.06%     269.055us         1.47%       6.974ms      58.118us       0.000us         0.00%     468.640us       3.905us           0 b           0 b     115.43 Mb           0 b           120  
     autograd::engine::evaluate_function: ViewBackward0         0.33%       1.562ms         2.17%      10.299ms      17.635us       0.000us         0.00%     475.040us       0.813us           0 b           0 b     -11.44 Mb    -142.69 Mb           584  
                                          ViewBackward0         0.14%     643.472us         1.58%       7.489ms      12.823us       0.000us         0.00%     387.840us       0.664us           0 b           0 b     131.25 Mb           0 b           584  
    autograd::engine::evaluate_function: AddmmBackward0         0.30%       1.410ms         8.80%      41.832ms     387.336us       0.000us         0.00%       8.996ms      83.293us           0 b           0 b     197.05 Mb    -224.00 Mb           108  
                                         AddmmBackward0         0.16%     762.005us         6.36%      30.228ms     279.887us       0.000us         0.00%       6.294ms      58.281us           0 b           0 b     420.63 Mb           0 b           108  
        autograd::engine::evaluate_function: TBackward0         0.07%     344.017us         0.20%     934.421us       7.079us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           132  
                                             TBackward0         0.04%     166.615us         0.12%     590.404us       4.473us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           132  
                                       c10d::allreduce_         0.32%       1.505ms         0.32%       1.509ms      94.320us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            16  
                                     record_param_comms         0.00%       3.785us         0.00%       3.785us       0.237us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            16  
                                        xccl:all_reduce         0.00%       0.000us             0     530.488us      33.156us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            16  
     autograd::engine::evaluate_function: ReluBackward0         0.02%     102.372us         0.32%       1.499ms      62.445us       0.000us         0.00%     138.720us       5.780us           0 b           0 b     -63.50 Mb    -126.50 Mb            24  
                                          ReluBackward0         0.02%      90.648us         0.29%       1.396ms      58.179us       0.000us         0.00%     138.720us       5.780us           0 b           0 b      63.00 Mb           0 b            24  
autograd::engine::evaluate_function: TransposeBackwa...         0.16%     781.759us         0.82%       3.921ms      15.081us       0.000us         0.00%     174.560us       0.671us           0 b           0 b     -27.12 Mb     -27.25 Mb           260  
                                     TransposeBackward0         0.05%     233.982us         0.20%     947.683us       3.645us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           260  
    autograd::engine::evaluate_function: CloneBackward0         0.04%     180.710us         0.04%     208.010us       2.537us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            82  
                                         CloneBackward0         0.01%      27.300us         0.01%      27.300us       0.333us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            82  
autograd::engine::evaluate_function: PermuteBackward...         0.02%      82.351us         0.07%     318.723us       8.853us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            36  
                                       PermuteBackward0         0.01%      64.914us         0.05%     236.372us       6.566us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            36  
autograd::engine::evaluate_function: UnsafeViewBackw...         0.05%     223.747us         0.14%     653.858us       6.811us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            96  
                                    UnsafeViewBackward0         0.02%     114.394us         0.09%     430.111us       4.480us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            96  
      autograd::engine::evaluate_function: BmmBackward0         0.12%     559.515us         3.63%      17.258ms     239.692us       0.000us         0.00%       1.030ms      14.307us           0 b           0 b     -63.69 Mb    -138.37 Mb            72  
                                           BmmBackward0         0.08%     390.112us         3.51%      16.698ms     231.921us       0.000us         0.00%       1.030ms      14.307us           0 b           0 b      74.68 Mb           0 b            72  
autograd::engine::evaluate_function: ExpandBackward0...         0.06%     280.207us         0.07%     344.113us       2.390us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           144  
                                        ExpandBackward0         0.01%      63.906us         0.01%      63.906us       0.444us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           144  
autograd::engine::evaluate_function: SoftmaxBackward...         0.03%     162.210us         0.87%       4.148ms     115.220us       0.000us         0.00%     163.360us       4.538us           0 b           0 b      -4.93 Mb      -9.87 Mb            36  
                                       SoftmaxBackward0         0.03%     130.559us         0.84%       3.986ms     110.714us       0.000us         0.00%     163.360us       4.538us           0 b           0 b       4.93 Mb           0 b            36  
autograd::engine::evaluate_function: ReshapeAliasBac...         0.03%     145.864us         0.07%     321.213us       6.692us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            48  
                                  ReshapeAliasBackward0         0.02%      75.263us         0.04%     175.349us       3.653us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            48  
      autograd::engine::evaluate_function: MulBackward1         0.05%     216.904us         0.89%       4.240ms      58.892us       0.000us         0.00%     204.320us       2.838us           0 b           0 b       4.50 Mb     -53.25 Mb            72  
                                           MulBackward1         0.02%     100.269us         0.85%       4.023ms      55.880us       0.000us         0.00%     204.320us       2.838us           0 b         -32 b      57.75 Mb           0 b            72  
autograd::engine::evaluate_function: SelectBackward0...         0.12%     560.204us         2.80%      13.334ms     138.892us       0.000us         0.00%     808.800us       8.425us           0 b           0 b     -12.38 Mb    -159.38 Mb            96  
                                        SelectBackward0         0.03%     153.425us         2.05%       9.743ms     101.492us       0.000us         0.00%     575.200us       5.992us           0 b           0 b     147.00 Mb           0 b            96  
                                  aten::select_backward         0.08%     400.146us         2.02%       9.590ms      99.894us       0.000us         0.00%     575.200us       5.992us           0 b           0 b     147.00 Mb           0 b            96  
                                            aten::zeros         0.05%     222.075us         0.99%       4.722ms      49.190us       0.000us         0.00%     250.560us       2.610us           0 b           0 b     147.00 Mb           0 b            96  
                                            aten::zero_         0.03%     138.463us         0.91%       4.344ms      45.249us       0.000us         0.00%     250.560us       2.610us           0 b           0 b           0 b           0 b            96  
autograd::engine::evaluate_function: SqueezeBackward...         0.02%      83.991us         0.07%     316.314us       8.786us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            36  
                                       SqueezeBackward1         0.01%      68.732us         0.05%     232.323us       6.453us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            36  
autograd::engine::evaluate_function: UnsqueezeBackwa...         0.02%      78.223us         0.05%     258.237us       7.173us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            36  
                                     UnsqueezeBackward0         0.01%      51.461us         0.04%     180.014us       5.000us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b            36  
       autograd::engine::evaluate_function: MmBackward0         0.03%     146.632us         1.67%       7.956ms     331.490us       0.000us         0.00%       1.916ms      79.820us           0 b           0 b      -5.00 Mb     -94.00 Mb            24  
                                            MmBackward0         0.03%     154.983us         1.64%       7.809ms     325.381us       0.000us         0.00%       1.916ms      79.820us           0 b           0 b      89.00 Mb           0 b            24  
autograd::engine::evaluate_function: SplitWithSizesB...         0.02%     112.086us         0.76%       3.625ms     151.022us       0.000us         0.00%     191.280us       7.970us           0 b           0 b      -4.00 Mb     -41.57 Mb            24  
                                SplitWithSizesBackward0         0.01%      67.081us         0.74%       3.512ms     146.352us       0.000us         0.00%     191.280us       7.970us           0 b           0 b      37.57 Mb           0 b            24  
     torch.distributed.ddp.reducer::copy_bucket_to_grad         0.07%     347.288us         2.75%      13.072ms      35.522us       0.000us         0.00%       1.280ms       3.478us           0 b           0 b           0 b           0 b           368  
                                             aten::item         0.04%     211.306us         0.06%     283.206us       0.770us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           368  
                              aten::_local_scalar_dense         0.02%      71.900us         0.02%      71.900us       0.195us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           368  
                            torch_ipex::adam_fused_step         0.13%     597.324us         3.82%      18.139ms      49.292us       0.000us         0.00%       2.768ms       7.520us           0 b           0 b           0 b           0 b           368  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 475.401ms
Self XPU time total: 29.787ms
